Date, Prices (EUR_MWh), Generation forecast (FR), System load forecast (FR) (MW),Day-Ahead Generation forecast wind (BE) (MWh),Grid load forecast (BE) (MW)
2015-01-16 23:00,43.18,78083,67721,304,11174
2015-01-17 00:00,36.54,74208,65930,250,10622
2015-01-17 01:00,33.17,71146,60935,369,10124
2015-01-17 02:00,32.26,70543,60917,353,9554
2015-01-17 03:00,27.92,68578,57735,372,9260
2015-01-17 04:00,27.05,68251,55521,384,8949
2015-01-17 05:00,27.24,69072,55437,399,8965
2015-01-17 06:00,27.41,69526,57790,402,9206
2015-01-17 07:00,33.17,71683,59998,407,9512
2015-01-17 08:00,41.99,74445,63310,408,10126
2015-01-17 09:00,47.44,76639,64922,391,10614
2015-01-17 10:00,46.57,77955,67744,403,11064
2015-01-17 11:00,43.39,77818,68089,423,11195
2015-01-17 12:00,43,77648,68985,440,11371
2015-01-17 13:00,38.08,77174,70075,432,11144
2015-01-17 14:00,34.5,74774,65398,475,10909
2015-01-17 15:00,33,72800,62714,567,10793
2015-01-17 16:00,33.84,73448,61289,644,10703
2015-01-17 17:00,42.44,75594,63188,736,11186
2015-01-17 18:00,45.84,77747,69977,853,11638
2015-01-17 19:00,46.43,79093,72563,972,11360
2015-01-17 20:00,39.96,77220,69620,1054,10928
2015-01-17 21:00,32.6,74404,66586,1082,10622
2015-01-17 22:00,37.78,74394,63910,1096,10483
2015-01-17 23:00,37.78,76258,68783,1072,10658
2015-01-18 00:00,36.24,74767,67841,1000,10405
2015-01-18 01:00,33.8,72060,63992,1000,9877
2015-01-18 02:00,28.75,71574,63700,997,9439
2015-01-18 03:00,27.57,69075,60203,980,9063
2015-01-18 04:00,24.34,69013,57661,955,8975
2015-01-18 05:00,25.68,69637,56726,932,8853
2015-01-18 06:00,28.79,70186,57588,925,8936
2015-01-18 07:00,31.41,71070,59206,934,8977
2015-01-18 08:00,33,72715,61037,948,9273
2015-01-18 09:00,37.23,74185,61860,943,9794
2015-01-18 10:00,39.07,76412,64644,919,10240
2015-01-18 11:00,42.44,76971,66134,871,10536
2015-01-18 12:00,43.33,77467,67379,811,10842
2015-01-18 13:00,38.25,76914,68867,739,10719
2015-01-18 14:00,36.85,73656,63150,660,10283
2015-01-18 15:00,36.85,71488,60501,577,10194
2015-01-18 16:00,38,71272,59004,478,10103
2015-01-18 17:00,50,73391,61008,431,10674
2015-01-18 18:00,53.67,77314,66710,437,11292
2015-01-18 19:00,51.02,79424,70715,409,11272
2015-01-18 20:00,50.62,78250,69422,388,11023
2015-01-18 21:00,42.44,76504,67410,378,10550
2015-01-18 22:00,44.94,76786,64493,356,10305
2015-01-18 23:00,42.51,77184,68467,327,10655
2015-01-19 00:00,38.24,73442,66938,264,10094
2015-01-19 01:00,34.9,71145,64533,149,9481
2015-01-19 02:00,33.04,70967,65316,109,9161
2015-01-19 03:00,29.53,70268,62249,113,8963
2015-01-19 04:00,28.07,70455,60217,119,8965
2015-01-19 05:00,31.17,71694,61577,130,9330
2015-01-19 06:00,42.87,77645,66204,138,10326
2015-01-19 07:00,52.07,83278,74151,120,11469
2015-01-19 08:00,56.49,86688,80339,111,12085
2015-01-19 09:00,52.38,86674,80908,95,12284
2015-01-19 10:00,52.34,86580,82020,80,12425
2015-01-19 11:00,50.68,86526,81959,70,12491
2015-01-19 12:00,49.31,86091,82571,61,12497
2015-01-19 13:00,48.84,86147,82561,64,12463
2015-01-19 14:00,47.72,85514,79384,71,12350
2015-01-19 15:00,47.43,83904,77344,47,12314
2015-01-19 16:00,48.19,84087,76269,51,12235
2015-01-19 17:00,52.16,84991,77502,72,12603
2015-01-19 18:00,64.7,86997,82145,70,13160
2015-01-19 19:00,54.91,87741,85657,77,12839
2015-01-19 20:00,51.04,85124,82184,90,12147
2015-01-19 21:00,44.36,81350,77309,85,11467
2015-01-19 22:00,49.5,80003,73045,83,11191
2015-01-19 23:00,49.86,80208,76514,73,11355
2015-01-20 00:00,43.02,78120,73727,66,10740
2015-01-20 01:00,41.33,75982,69229,68,10072
2015-01-20 02:00,42.02,75964,70033,27,9753
2015-01-20 03:00,36.28,74493,66997,19,9332
2015-01-20 04:00,33.41,73635,65185,19,9338
2015-01-20 05:00,38.71,75513,66262,13,9624
2015-01-20 06:00,44.67,80310,70313,11,10672
2015-01-20 07:00,53.39,85335,77650,11,11774
2015-01-20 08:00,58.88,87805,83706,14,12486
2015-01-20 09:00,58.8,88302,83839,19,12521
2015-01-20 10:00,57.34,88722,84452,26,12650
2015-01-20 11:00,57.46,88801,84059,34,12838
2015-01-20 12:00,53.53,88241,84161,44,12796
2015-01-20 13:00,52.93,87433,83951,57,12734
2015-01-20 14:00,52.38,86572,80634,63,12638
2015-01-20 15:00,52.1,85728,78091,66,12556
2015-01-20 16:00,51.04,85950,77357,70,12479
2015-01-20 17:00,58.55,87248,78141,83,12769
2015-01-20 18:00,66.65,88542,82630,116,13327
2015-01-20 19:00,56.02,88713,86166,152,12888
2015-01-20 20:00,50.09,86481,83188,195,12331
2015-01-20 21:00,42.73,83378,78182,238,11680
2015-01-20 22:00,46.75,81899,74713,281,11384
2015-01-20 23:00,45.53,82080,78115,337,11720
2015-01-21 00:00,44.8,79237,76133,409,11256
2015-01-21 01:00,44.15,78198,71539,287,10718
2015-01-21 02:00,44.15,77219,72826,333,10298
2015-01-21 03:00,38.99,75633,69656,398,10052
2015-01-21 04:00,37.68,74561,67545,461,10018
2015-01-21 05:00,39.52,75865,68057,513,10190
2015-01-21 06:00,44.78,79864,72028,549,11075
2015-01-21 07:00,54.12,85178,79098,588,12141
2015-01-21 08:00,58.39,87674,83848,608,13096
2015-01-21 09:00,61.72,87855,84898,596,13218
2015-01-21 10:00,61.34,88334,85423,579,13236
2015-01-21 11:00,62.08,87959,84632,555,13283
2015-01-21 12:00,55.73,87141,85073,509,13084
2015-01-21 13:00,52.6,86272,84395,458,12982
2015-01-21 14:00,48,84989,81288,403,12872
2015-01-21 15:00,50,84073,78428,340,12843
2015-01-21 16:00,51.02,83769,77102,282,12738
2015-01-21 17:00,55.47,85319,77659,257,12983
2015-01-21 18:00,59.82,87836,82517,291,13552
2015-01-21 19:00,57.66,88615,85637,319,13155
2015-01-21 20:00,50.25,86208,82574,322,12595
2015-01-21 21:00,45,83007,77785,296,11914
2015-01-21 22:00,42,81665,73814,267,11630
2015-01-21 23:00,43.96,80985,77225,240,11971
2015-01-22 00:00,43.57,77967,75174,219,11284
2015-01-22 01:00,42.24,76037,70498,112,10662
2015-01-22 02:00,39.5,76072,71948,96,10208
2015-01-22 03:00,35.51,73847,68665,108,9949
2015-01-22 04:00,35.31,72652,67019,125,9906
2015-01-22 05:00,41.55,73707,67734,148,10076
2015-01-22 06:00,45.48,78638,71604,172,10931
2015-01-22 07:00,53.41,83846,78722,186,12052
2015-01-22 08:00,59.66,86179,83701,190,12853
2015-01-22 09:00,61.57,86909,83682,193,12903
2015-01-22 10:00,63.27,87509,83895,196,12959
2015-01-22 11:00,61.45,87022,83577,186,13029
2015-01-22 12:00,55.35,86689,84104,170,12887
2015-01-22 13:00,54.01,86309,83757,158,12823
2015-01-22 14:00,51.54,85213,80676,167,12718
2015-01-22 15:00,49.99,84573,78463,205,12659
2015-01-22 16:00,51.99,84428,77199,233,12601
2015-01-22 17:00,59.2,86389,78195,244,12799
2015-01-22 18:00,64.56,88205,82893,250,13323
2015-01-22 19:00,64.57,89319,85640,268,12980
2015-01-22 20:00,56.5,87071,82242,271,12459
2015-01-22 21:00,48.15,84544,77472,238,11862
2015-01-22 22:00,49.41,83262,73255,212,11581
